pitcher,taggedpitchtype,relspeed,spinrate,inducedvertbreak,horzbreak
"Naess, Griffin",Fastball,89.17,2295.58,18.3622,12.5762
"Naess, Griffin",Fastball,90.15,2334.96,14.9235,9.9197
"Naess, Griffin",Fastball,89.53,2340.70,18.1966,6.2966
"Naess, Griffin",FourSeamFastBall,90.55,2405.19,21.7088,11.6808
"Naess, Griffin",Fastball,89.74,2301.77,14.2006,13.5552
"Naess, Griffin",Fastball,90.20,2323.68,21.1952,9.2476
"Naess, Griffin",Fastball,90.20,2275.69,18.1635,13.1141
"Naess, Griffin",Fastball,88.27,2217.92,22.4277,11.8264
"Naess, Griffin",Fastball,89.26,2377.90,20.6843,3.2437
"Naess, Griffin",Fastball,89.00,2201.82,17.5387,12.5284
"Naess, Griffin",Fastball,89.92,2215.83,19.0008,13.2799
"Naess, Griffin",Fastball,91.33,2317.15,20.1435,10.0779
"Naess, Griffin",Fastball,89.43,2362.80,18.5829,10.4785
"Johnson, Andrew",FourSeamFastBall,90.09,2455.22,21.1719,3.7479
"Johnson, Andrew",FourSeamFastBall,89.40,2396.93,22.7340,8.0315
"Johnson, Andrew",FourSeamFastBall,87.76,2378.62,21.3270,11.6958
"Johnson, Andrew",FourSeamFastBall,90.28,2449.30,20.7349,8.2725
"Johnson, Andrew",FourSeamFastBall,89.08,2431.23,20.0462,2.7431
"Johnson, Andrew",FourSeamFastBall,90.49,2454.34,21.7234,9.2216
"Johnson, Andrew",FourSeamFastBall,87.80,2303.64,20.9009,7.6732
"Johnson, Andrew",FourSeamFastBall,90.35,2390.02,21.5738,11.0663
"Johnson, Andrew",FourSeamFastBall,89.58,2383.00,22.3926,8.3531
"Johnson, Andrew",FourSeamFastBall,88.32,2319.61,19.4758,7.5100
"Johnson, Andrew",FourSeamFastBall,89.96,2447.77,20.3237,13.7851
"Johnson, Andrew",FourSeamFastBall,92.74,2539.59,22.2144,9.2276
"Johnson, Andrew",FourSeamFastBall,87.62,2333.59,22.6953,6.0311
"Johnson, Andrew",FourSeamFastBall,89.88,2409.19,19.0438,12.8144
"Johnson, Andrew",FourSeamFastBall,91.05,2506.03,22.7947,8.4267
"Johnson, Andrew",FourSeamFastBall,91.32,2483.94,24.2651,10.3813
"Johnson, Andrew",FourSeamFastBall,79.05,1838.47,8.7643,18.0102
"Johnson, Andrew",FourSeamFastBall,89.00,2365.01,25.4345,7.6065
"Johnson, Andrew",FourSeamFastBall,90.45,2427.71,24.7309,15.0466
"Johnson, Andrew",FourSeamFastBall,89.09,2411.26,21.7070,11.9111
"Johnson, Andrew",FourSeamFastBall,89.08,2362.12,21.2421,11.3176
"Johnson, Andrew",FourSeamFastBall,91.31,2379.13,21.1092,11.4801
"Johnson, Andrew",FourSeamFastBall,88.41,2352.75,22.6956,11.7497
"Johnson, Andrew",FourSeamFastBall,89.20,2362.69,25.7729,10.9287
"Johnson, Andrew",FourSeamFastBall,91.72,2451.74,21.3449,10.4840
"Johnson, Andrew",FourSeamFastBall,88.88,2301.27,22.2947,7.7697
"Johnson, Andrew",FourSeamFastBall,91.87,2507.39,23.7897,11.6367
"Johnson, Andrew",FourSeamFastBall,89.70,2362.71,23.4990,10.4721
"Johnson, Andrew",FourSeamFastBall,89.74,2318.90,23.6160,8.5380
"Johnson, Andrew",FourSeamFastBall,91.73,2502.05,22.2862,12.9258
"Johnson, Andrew",FourSeamFastBall,91.27,2501.32,21.3347,11.8725
"Johnson, Andrew",FourSeamFastBall,91.97,2431.67,21.5764,9.0898
"Johnson, Andrew",FourSeamFastBall,89.99,2485.89,23.3088,11.8528
"Johnson, Andrew",FourSeamFastBall,92.46,2431.58,20.6586,6.7988
"Johnson, Andrew",FourSeamFastBall,91.17,2367.60,20.2030,7.0569
